pca_1,pca_2,tsne_1,tsne_2,dataset
10551.109676240654,-249.76227659011923,2.8278303,4.4901605,Synthia
-8162.221888769039,6554.866410083328,3.042966,-2.3103259,Synthia
22506.853518787848,-15469.725247544724,-0.42388427,10.829879,Synthia
30352.073886050388,-12314.951614514468,0.20192258,10.913464,Synthia
3500.7878239448305,24803.523689241716,1.1031903,-8.148657,Synthia
5005.337738251071,3859.5461086873547,-4.1427617,-2.6804001,Synthia
-12157.157869863793,10928.261630312903,3.4865792,-1.4327617,Synthia
-18099.3076587209,-5259.098732459456,-6.905864,0.47738618,Synthia
7509.143708010488,-7198.011931509314,-2.80991,6.472101,Synthia
-10472.750703885227,15243.280702501705,-2.5543299,-6.3552375,Synthia
-17021.83854417708,22.11822179584283,-6.6189723,-1.0406717,Synthia
-15513.4759225313,7194.668581822948,-7.815675,-2.3437529,Synthia
10993.51316437037,5423.6327982047105,5.99359,0.3596372,Synthia
912.3596361085749,-5184.508671890266,6.3533373,6.4008937,Synthia
6035.907742849534,-7314.662200071871,0.15735868,5.467144,Synthia
12597.125041672918,-4032.610634236098,-3.526752,5.8560696,Synthia
-9616.716347831063,2461.8108209844,-1.6422533,-0.49602348,Synthia
128.4409705987271,878.2656497354095,-2.405869,-1.7661031,Synthia
-5615.639259024521,9643.518606791005,1.9668456,-1.6279529,Synthia
-19143.314616265507,-2594.9856206356862,-7.329183,-0.20139311,Synthia
5614.449941878421,10321.642950676884,-6.7663937,-5.872387,Synthia
2818.795614475377,-12397.537195269591,-0.15768448,6.9019766,Synthia
10976.047035561045,-14091.109402042552,-0.30989522,8.5835,Synthia
-18201.639097874133,3371.1724259499792,-7.6623807,-1.4542396,Synthia
34669.2064526709,3573.375543413909,2.3104305,10.646544,Synthia
-5944.056863111165,8210.961038494537,2.464543,0.27442917,Synthia
19925.15579688614,18865.754028506923,4.065182,-8.788958,Synthia
8705.306271144405,-22950.154015222426,-2.9549026,10.254005,Synthia
14181.22812321356,9835.85543349666,-7.405767,-6.101014,Synthia
-7568.029154856113,7222.7825744647525,3.5173318,-2.232305,Synthia
-6092.0832477793265,-2084.55597031458,-1.5861291,0.018991383,Synthia
-4750.847573424347,17454.355625450775,-2.4602315,-6.5989714,Synthia
-22382.86137669776,-3944.0625596355158,-7.216769,0.18906252,Synthia
20943.43592949333,-4153.226370252428,3.308968,9.581275,Synthia
19273.273411390783,13791.64663356874,4.11319,-8.810522,Synthia
