pca_1,pca_2,tsne_1,tsne_2,dataset,path,similar_image_path
-74.62732822,-5069.117205,-2.2331197,4.496939,Cityscapes,dataset\original_cityscapes_inputs\374.jpeg,dataset\SYNTHIA_256\image\0006685.png
-616.2319101,-11362.08141,6.212449,2.6693056,Cityscapes,dataset\original_cityscapes_inputs\99.jpeg,dataset\SYNTHIA_256\image\0001351.png
1027.978892,-4717.469271,1.7924604,2.106258,Cityscapes,dataset\original_cityscapes_inputs\468.jpeg,dataset\SYNTHIA_256\image\0005302.png
-6073.918768,-1992.387204,2.8170745,-4.846512,Cityscapes,dataset\original_cityscapes_inputs\201.jpeg,dataset\SYNTHIA_256\image\0003912.png
4690.441494,3454.968378,-6.9264708,3.6578403,Cityscapes,dataset\original_cityscapes_inputs\49.jpeg,dataset\SYNTHIA_256\image\0004607.png
2791.03466,-6576.845649,4.3041296,1.0254215,Cityscapes,dataset\original_cityscapes_inputs\90.jpeg,dataset\SYNTHIA_256\image\0005302.png
-6522.44309,5054.431849,-1.707963,-7.005566,Cityscapes,dataset\original_cityscapes_inputs\44.jpeg,dataset\SYNTHIA_256\image\0002644.png
436.677667,8377.672076,-5.7656875,-11.499694,Cityscapes,dataset\original_cityscapes_inputs\356.jpeg,dataset\SYNTHIA_256\image\0008199.png
-9011.9037,2495.019832,0.7711998,-7.0241175,Cityscapes,dataset\original_cityscapes_inputs\79.jpeg,dataset\SYNTHIA_256\image\0007505.png
1657.057785,12182.46574,-6.6877327,-5.9070663,Cityscapes,dataset\original_cityscapes_inputs\497.jpeg,dataset\SYNTHIA_256\image\0006349.png
3993.077174,2097.052022,-2.9120438,1.3839669,Cityscapes,dataset\original_cityscapes_inputs\102.jpeg,dataset\SYNTHIA_256\image\0004607.png
7430.96796,5785.029367,-6.8878765,-1.9718881,Cityscapes,dataset\original_cityscapes_inputs\359.jpeg,dataset\SYNTHIA_256\image\0004607.png
-2958.308572,529.654087,2.0436115,-2.3290455,Cityscapes,dataset\original_cityscapes_inputs\478.jpeg,dataset\SYNTHIA_256\image\0009205.png
-358.8320043,2206.730685,-2.8517187,-1.9550909,Cityscapes,dataset\original_cityscapes_inputs\358.jpeg,dataset\SYNTHIA_256\image\0001705.png
2649.451954,-6363.292358,-9.74336,1.6852447,Cityscapes,dataset\original_cityscapes_inputs\411.jpeg,dataset\SYNTHIA_256\image\0005302.png
5560.539002,3137.582072,-4.201792,-0.35072985,Cityscapes,dataset\original_cityscapes_inputs\34.jpeg,dataset\SYNTHIA_256\image\0004607.png
2191.290853,-2968.064339,-1.6073022,-1.4264859,Cityscapes,dataset\original_cityscapes_inputs\36.jpeg,dataset\SYNTHIA_256\image\0005302.png
3099.502944,3734.621463,-2.8761501,0.5615218,Cityscapes,dataset\original_cityscapes_inputs\489.jpeg,dataset\SYNTHIA_256\image\0005874.png
2035.98957,-1204.367408,1.4725791,0.70406634,Cityscapes,dataset\original_cityscapes_inputs\496.jpeg,dataset\SYNTHIA_256\image\0008614.png
-5178.272464,2935.532236,0.40320963,-5.6829658,Cityscapes,dataset\original_cityscapes_inputs\295.jpeg,dataset\SYNTHIA_256\image\0007028.png
-5174.720117,-4094.648666,0.6525931,-2.0799506,Cityscapes,dataset\original_cityscapes_inputs\352.jpeg,dataset\SYNTHIA_256\image\0003912.png
2107.18955,-6852.792555,2.4181387,2.3610132,Cityscapes,dataset\original_cityscapes_inputs\343.jpeg,dataset\SYNTHIA_256\image\0005302.png
-6173.866026,-590.3729733,-0.2643376,-2.6731002,Cityscapes,dataset\original_cityscapes_inputs\222.jpeg,dataset\SYNTHIA_256\image\0009205.png
-74.62732822,-5069.117205,-2.233215,4.4968324,Cityscapes,dataset\original_cityscapes_inputs\374.jpeg,dataset\SYNTHIA_256\image\0006685.png
-9777.177256,1438.961339,1.4036224,-7.0488963,Cityscapes,dataset\original_cityscapes_inputs\341.jpeg,dataset\SYNTHIA_256\image\0005993.png
3944.102812,4050.505817,-7.191177,0.045354713,Cityscapes,dataset\original_cityscapes_inputs\166.jpeg,dataset\SYNTHIA_256\image\0004607.png
-380.4790415,-4959.850317,2.2151637,0.87219673,Cityscapes,dataset\original_cityscapes_inputs\349.jpeg,dataset\SYNTHIA_256\image\0006685.png
2505.778993,-9648.100706,2.6170743,3.3819692,Cityscapes,dataset\original_cityscapes_inputs\233.jpeg,dataset\SYNTHIA_256\image\0003139.png
-2942.287805,-5686.962914,2.6155849,-3.529383,Cityscapes,dataset\original_cityscapes_inputs\42.jpeg,dataset\SYNTHIA_256\image\0000526.png
-1767.623862,-381.6009477,1.2251557,0.35373053,Cityscapes,dataset\original_cityscapes_inputs\419.jpeg,dataset\SYNTHIA_256\image\0003316.png
3291.427601,15238.72226,-6.876406,-5.2110963,Cityscapes,dataset\original_cityscapes_inputs\416.jpeg,dataset\SYNTHIA_256\image\0006947.png
-1283.961843,-7670.490786,3.1527345,0.09381571,Cityscapes,dataset\original_cityscapes_inputs\83.jpeg,dataset\SYNTHIA_256\image\0000526.png
4894.767541,2236.314894,0.14108852,6.011498,Cityscapes,dataset\original_cityscapes_inputs\40.jpeg,dataset\SYNTHIA_256\image\0004607.png
2862.76538,100.8794425,-5.5245337,2.5189397,Cityscapes,dataset\original_cityscapes_inputs\121.jpeg,dataset\SYNTHIA_256\image\0008614.png
4598.137539,7523.180596,-5.383753,-2.7533479,Cityscapes,dataset\original_cityscapes_inputs\347.jpeg,dataset\SYNTHIA_256\image\0008195.png
10127.03068,17952.35318,-8.141805,-4.3558903,Cityscapes,dataset\original_cityscapes_inputs\445.jpeg,dataset\SYNTHIA_256\image\0003542.png
-9123.560146,-750.2495409,-0.38336065,-6.588308,Cityscapes,dataset\original_cityscapes_inputs\487.jpeg,dataset\SYNTHIA_256\image\0005993.png
7378.582827,-15415.97337,6.1408257,3.6299222,Cityscapes,dataset\original_cityscapes_inputs\371.jpeg,dataset\SYNTHIA_256\image\0003139.png
7506.45301,5736.853406,-3.6172352,0.56400245,Cityscapes,dataset\original_cityscapes_inputs\436.jpeg,dataset\SYNTHIA_256\image\0004607.png
-5423.842288,-1756.771349,1.0826266,-0.8730744,Cityscapes,dataset\original_cityscapes_inputs\304.jpeg,dataset\SYNTHIA_256\image\0003316.png
-2868.663803,3940.292606,-2.6383169,-5.488,Cityscapes,dataset\original_cityscapes_inputs\149.jpeg,dataset\SYNTHIA_256\image\0007028.png
-2583.049932,480.9085681,-0.58196557,0.25003856,Cityscapes,dataset\original_cityscapes_inputs\234.jpeg,dataset\SYNTHIA_256\image\0003316.png
7660.971854,-15880.6966,5.6716294,3.288952,Cityscapes,dataset\original_cityscapes_inputs\291.jpeg,dataset\SYNTHIA_256\image\0003617.png
-4515.007986,183.4415318,-0.18012033,-3.4852393,Cityscapes,dataset\original_cityscapes_inputs\405.jpeg,dataset\SYNTHIA_256\image\0009205.png
-7109.302117,5056.039755,-2.1929681,-6.974452,Cityscapes,dataset\original_cityscapes_inputs\332.jpeg,dataset\SYNTHIA_256\image\0002644.png
5361.229862,2250.826931,-0.10914875,6.8090734,Cityscapes,dataset\original_cityscapes_inputs\92.jpeg,dataset\SYNTHIA_256\image\0004607.png
-5414.126652,-3001.732193,0.57807153,-3.4750874,Cityscapes,dataset\original_cityscapes_inputs\362.jpeg,dataset\SYNTHIA_256\image\0003912.png
7595.784638,-13925.72073,5.0734305,1.5613372,Cityscapes,dataset\original_cityscapes_inputs\483.jpeg,dataset\SYNTHIA_256\image\0003139.png
6290.475672,-442.2644648,0.25212753,6.7187433,Cityscapes,dataset\original_cityscapes_inputs\459.jpeg,dataset\SYNTHIA_256\image\0002262.png
3593.735884,4668.825514,-5.6085544,-1.7010857,Cityscapes,dataset\original_cityscapes_inputs\76.jpeg,dataset\SYNTHIA_256\image\0005874.png
-1805.655687,-4958.453426,3.2606032,-1.4178998,Cityscapes,dataset\original_cityscapes_inputs\429.jpeg,dataset\SYNTHIA_256\image\0000526.png
-1571.323054,2905.982293,-0.47393292,-0.41142195,Cityscapes,dataset\original_cityscapes_inputs\310.jpeg,dataset\SYNTHIA_256\image\0001705.png
6751.586419,12854.53392,-7.413434,-5.659761,Cityscapes,dataset\original_cityscapes_inputs\307.jpeg,dataset\SYNTHIA_256\image\0002499.png
1960.009056,2683.367578,-3.1467426,-2.85783,Cityscapes,dataset\original_cityscapes_inputs\440.jpeg,dataset\SYNTHIA_256\image\0008614.png
-2583.049932,480.9085681,-0.58196557,0.25003856,Cityscapes,dataset\original_cityscapes_inputs\234.jpeg,dataset\SYNTHIA_256\image\0003316.png
4751.020799,2626.248282,-6.540186,-0.017940708,Cityscapes,dataset\original_cityscapes_inputs\160.jpeg,dataset\SYNTHIA_256\image\0004607.png
-4239.08201,1576.315185,-0.48291633,-3.5831857,Cityscapes,dataset\original_cityscapes_inputs\110.jpeg,dataset\SYNTHIA_256\image\0009205.png
1207.882037,6306.408008,-3.9859886,-2.5403006,Cityscapes,dataset\original_cityscapes_inputs\270.jpeg,dataset\SYNTHIA_256\image\0002455.png
4874.010035,-312.95842,-2.7873144,-1.2214615,Cityscapes,dataset\original_cityscapes_inputs\165.jpeg,dataset\SYNTHIA_256\image\0008614.png
-374.9300853,-2169.263341,-1.0675007,-0.89687777,Cityscapes,dataset\original_cityscapes_inputs\484.jpeg,dataset\SYNTHIA_256\image\0005499.png
10809.88139,-7256.568098,5.078655,5.837375,Cityscapes,dataset\original_cityscapes_inputs\491.jpeg,dataset\SYNTHIA_256\image\0002215.png
-2226.506921,6765.711295,-3.5583763,-5.8145885,Cityscapes,dataset\original_cityscapes_inputs\472.jpeg,dataset\SYNTHIA_256\image\0008186.png
-2958.308572,529.654087,2.0436115,-2.3290455,Cityscapes,dataset\original_cityscapes_inputs\478.jpeg,dataset\SYNTHIA_256\image\0009205.png
7969.704584,-5167.425118,8.538474,2.8050632,Cityscapes,dataset\original_cityscapes_inputs\324.jpeg,dataset\SYNTHIA_256\image\0001334.png
5805.989193,-7095.407276,-4.857381,3.2419086,Cityscapes,dataset\original_cityscapes_inputs\229.jpeg,dataset\SYNTHIA_256\image\0001334.png
-1640.939068,2714.453495,2.1383417,-0.9733758,Cityscapes,dataset\original_cityscapes_inputs\139.jpeg,dataset\SYNTHIA_256\image\0001705.png
-5019.572736,8722.432296,-2.7853236,-6.749311,Cityscapes,dataset\original_cityscapes_inputs\345.jpeg,dataset\SYNTHIA_256\image\0009112.png
3637.808612,9361.894728,-6.7673793,-6.537363,Cityscapes,dataset\original_cityscapes_inputs\286.jpeg,dataset\SYNTHIA_256\image\0006349.png
1694.640141,-5473.993886,-5.7735324,2.4432378,Cityscapes,dataset\original_cityscapes_inputs\186.jpeg,dataset\SYNTHIA_256\image\0005302.png
2044.848297,124.285223,-3.5527408,-1.1544544,Cityscapes,dataset\original_cityscapes_inputs\388.jpeg,dataset\SYNTHIA_256\image\0008614.png
3567.717956,201.277446,1.8431476,0.17740206,Cityscapes,dataset\original_cityscapes_inputs\244.jpeg,dataset\SYNTHIA_256\image\0008614.png
3996.242988,-814.2672607,-3.07978,2.7055073,Cityscapes,dataset\original_cityscapes_inputs\336.jpeg,dataset\SYNTHIA_256\image\0008614.png
679.42967,12662.12624,-6.0476594,-5.497052,Cityscapes,dataset\original_cityscapes_inputs\455.jpeg,dataset\SYNTHIA_256\image\0005785.png
137.8714107,-3227.682211,-1.1806413,-2.4119022,Cityscapes,dataset\original_cityscapes_inputs\383.jpeg,dataset\SYNTHIA_256\image\0005302.png
10422.26321,-20720.28503,4.601696,3.8224936,Cityscapes,dataset\original_cityscapes_inputs\381.jpeg,dataset\SYNTHIA_256\image\0003617.png
4502.329429,-3249.537642,1.1645336,5.564632,Cityscapes,dataset\original_cityscapes_inputs\368.jpeg,dataset\SYNTHIA_256\image\0005302.png
-3193.616532,-3102.998465,0.62676835,-3.1382911,Cityscapes,dataset\original_cityscapes_inputs\194.jpeg,dataset\SYNTHIA_256\image\0005499.png
1883.154571,-1897.303934,-1.4632185,0.834501,Cityscapes,dataset\original_cityscapes_inputs\243.jpeg,dataset\SYNTHIA_256\image\0005302.png
1933.308087,13179.94113,-5.964691,-5.605365,Cityscapes,dataset\original_cityscapes_inputs\67.jpeg,dataset\SYNTHIA_256\image\0005785.png
1612.938003,5003.355909,-4.5431523,1.0199668,Cityscapes,dataset\original_cityscapes_inputs\107.jpeg,dataset\SYNTHIA_256\image\0002455.png
4653.174106,-6926.777382,-2.6861084,-0.56957877,Cityscapes,dataset\original_cityscapes_inputs\181.jpeg,dataset\SYNTHIA_256\image\0001334.png
-1170.702685,-9237.578349,4.19026,-1.0248791,Cityscapes,dataset\original_cityscapes_inputs\458.jpeg,dataset\SYNTHIA_256\image\0001351.png
-2877.744134,4566.815633,-1.994333,-5.9474697,Cityscapes,dataset\original_cityscapes_inputs\29.jpeg,dataset\SYNTHIA_256\image\0000599.png
5310.794871,-2782.907161,-1.958856,2.2210047,Cityscapes,dataset\original_cityscapes_inputs\7.jpeg,dataset\SYNTHIA_256\image\0005302.png
3128.165228,10986.56055,-4.908716,-3.71425,Cityscapes,dataset\original_cityscapes_inputs\420.jpeg,dataset\SYNTHIA_256\image\0006349.png
4002.394975,-2964.41166,-4.3784733,4.8595176,Cityscapes,dataset\original_cityscapes_inputs\316.jpeg,dataset\SYNTHIA_256\image\0005302.png
7381.671402,-20093.30955,6.8463826,1.4723413,Synthia,dataset\SYNTHIA_256\image\0003617.png,dataset\original_cityscapes_inputs\381.jpeg
2555.277635,14932.68803,-4.9621234,-5.1036143,Synthia,dataset\SYNTHIA_256\image\0006947.png,dataset\original_cityscapes_inputs\416.jpeg
-4048.312913,1397.343078,-0.41511497,-4.6555796,Synthia,dataset\SYNTHIA_256\image\0009205.png,dataset\original_cityscapes_inputs\110.jpeg
-11862.33251,4129.68369,0.86906505,-8.925943,Synthia,dataset\SYNTHIA_256\image\0006853.png,dataset\original_cityscapes_inputs\79.jpeg
-15618.76325,9228.427767,0.22765738,-10.55722,Synthia,dataset\SYNTHIA_256\image\0008002.png,dataset\original_cityscapes_inputs\79.jpeg
25724.13625,-16249.89709,5.917037,6.5181675,Synthia,dataset\SYNTHIA_256\image\0002174.png,dataset\original_cityscapes_inputs\196.jpeg
27634.12693,-13353.33467,5.3828125,7.123006,Synthia,dataset\SYNTHIA_256\image\0001860.png,dataset\original_cityscapes_inputs\491.jpeg
3200.734905,-14023.01583,5.707084,1.0365946,Synthia,dataset\SYNTHIA_256\image\0003139.png,dataset\original_cityscapes_inputs\288.jpeg
-1765.472665,7659.519158,9.452143,-4.976334,Synthia,dataset\SYNTHIA_256\image\0008186.png,dataset\original_cityscapes_inputs\472.jpeg
-4373.825256,3175.826833,1.38996,-4.434605,Synthia,dataset\SYNTHIA_256\image\0007028.png,dataset\original_cityscapes_inputs\295.jpeg
-10371.25252,6243.241432,-0.33556187,-8.044954,Synthia,dataset\SYNTHIA_256\image\0008996.png,dataset\original_cityscapes_inputs\332.jpeg
10347.22192,-9599.581619,1.5265713,6.7445054,Synthia,dataset\SYNTHIA_256\image\0007253.png,dataset\original_cityscapes_inputs\491.jpeg
-1790.611494,8426.427965,9.449828,-4.9854474,Synthia,dataset\SYNTHIA_256\image\0008199.png,dataset\original_cityscapes_inputs\472.jpeg
-16937.84652,705.8843732,2.776085,-9.82817,Synthia,dataset\SYNTHIA_256\image\0000264.png,dataset\original_cityscapes_inputs\341.jpeg
-8129.838323,14624.36393,-1.4842664,-10.932772,Synthia,dataset\SYNTHIA_256\image\0000388.png,dataset\original_cityscapes_inputs\345.jpeg
13906.61899,-7216.295489,4.9595895,6.278092,Synthia,dataset\SYNTHIA_256\image\0001047.png,dataset\original_cityscapes_inputs\491.jpeg
23194.93746,-5819.95743,7.0623946,6.2620387,Synthia,dataset\SYNTHIA_256\image\0000946.png,dataset\original_cityscapes_inputs\491.jpeg
-11157.98742,1349.455207,1.7943516,-7.77835,Synthia,dataset\SYNTHIA_256\image\0005993.png,dataset\original_cityscapes_inputs\341.jpeg
1637.509826,-24039.1531,4.439567,3.4329903,Synthia,dataset\SYNTHIA_256\image\0008307.png,dataset\original_cityscapes_inputs\381.jpeg
8580.531121,-4901.619458,-5.9101377,5.0505276,Synthia,dataset\SYNTHIA_256\image\0006904.png,dataset\original_cityscapes_inputs\324.jpeg
15434.93947,619.9275973,3.8807247,6.101791,Synthia,dataset\SYNTHIA_256\image\0001843.png,dataset\original_cityscapes_inputs\263.jpeg
18776.55635,-2874.573158,3.3406243,8.107683,Synthia,dataset\SYNTHIA_256\image\0000132.png,dataset\original_cityscapes_inputs\491.jpeg
18100.18415,8014.266226,1.6395339,9.313299,Synthia,dataset\SYNTHIA_256\image\0007256.png,dataset\original_cityscapes_inputs\436.jpeg
-11342.61715,8615.462923,-0.25627986,-10.421382,Synthia,dataset\SYNTHIA_256\image\0008273.png,dataset\original_cityscapes_inputs\332.jpeg
2375.880345,-16136.38263,3.9172852,3.8562539,Synthia,dataset\SYNTHIA_256\image\0008276.png,dataset\original_cityscapes_inputs\371.jpeg
29150.9397,-5079.325906,4.8482814,7.442078,Synthia,dataset\SYNTHIA_256\image\0008295.png,dataset\original_cityscapes_inputs\491.jpeg
12319.06907,5719.934091,-9.278714,3.7706106,Synthia,dataset\SYNTHIA_256\image\0000530.png,dataset\original_cityscapes_inputs\436.jpeg
-18396.15908,-2323.474049,3.852861,-9.471796,Synthia,dataset\SYNTHIA_256\image\0002909.png,dataset\original_cityscapes_inputs\341.jpeg
-10224.28584,-5958.592392,3.5281644,-6.801262,Synthia,dataset\SYNTHIA_256\image\0001566.png,dataset\original_cityscapes_inputs\487.jpeg
-12114.22353,6161.639364,-0.117824025,-9.26576,Synthia,dataset\SYNTHIA_256\image\0001938.png,dataset\original_cityscapes_inputs\79.jpeg
-18449.43651,-3923.06745,4.9462433,-11.344712,Synthia,dataset\SYNTHIA_256\image\0000413.png,dataset\original_cityscapes_inputs\487.jpeg
-4435.772503,15981.58775,-4.8242497,-7.3900185,Synthia,dataset\SYNTHIA_256\image\0009141.png,dataset\original_cityscapes_inputs\267.jpeg
-15580.56934,-4638.50386,4.3583627,-8.398651,Synthia,dataset\SYNTHIA_256\image\0007374.png,dataset\original_cityscapes_inputs\487.jpeg
8719.71553,17275.52854,-8.52218,-3.450134,Synthia,dataset\SYNTHIA_256\image\0003542.png,dataset\original_cityscapes_inputs\445.jpeg
-5905.150678,-7689.94193,-8.851164,1.5784013,Synthia,dataset\SYNTHIA_256\image\0002950.png,dataset\original_cityscapes_inputs\42.jpeg
-20590.66841,-2372.763621,3.865799,-9.902345,Synthia,dataset\SYNTHIA_256\image\0001795.png,dataset\original_cityscapes_inputs\341.jpeg
9409.875286,2270.386224,-0.82231,6.3497076,Synthia,dataset\SYNTHIA_256\image\0002262.png,dataset\original_cityscapes_inputs\263.jpeg
-19242.21945,-3636.599397,4.3026767,-9.378677,Synthia,dataset\SYNTHIA_256\image\0008884.png,dataset\original_cityscapes_inputs\487.jpeg
-655.9324401,-22915.33269,4.8754983,2.5997589,Synthia,dataset\SYNTHIA_256\image\0004101.png,dataset\original_cityscapes_inputs\291.jpeg
-11356.41294,7755.938836,-0.70915735,-9.688136,Synthia,dataset\SYNTHIA_256\image\0007647.png,dataset\original_cityscapes_inputs\332.jpeg
9564.939831,-4179.587765,8.235795,5.33685,Synthia,dataset\SYNTHIA_256\image\0008094.png,dataset\original_cityscapes_inputs\324.jpeg
-4671.090534,4531.633263,-3.122208,-9.855753,Synthia,dataset\SYNTHIA_256\image\0000599.png,dataset\original_cityscapes_inputs\295.jpeg
2031.543809,6323.851582,-8.334358,-1.0161288,Synthia,dataset\SYNTHIA_256\image\0002455.png,dataset\original_cityscapes_inputs\270.jpeg
11419.32093,8849.358825,-1.9919552,7.7545238,Synthia,dataset\SYNTHIA_256\image\0004156.png,dataset\original_cityscapes_inputs\436.jpeg
-9719.979736,3875.113164,-0.8798678,-8.926163,Synthia,dataset\SYNTHIA_256\image\0007505.png,dataset\original_cityscapes_inputs\79.jpeg
-1709.70453,-5333.175698,6.368336,-2.1116881,Synthia,dataset\SYNTHIA_256\image\0000526.png,dataset\original_cityscapes_inputs\429.jpeg
1633.831075,1125.104146,-1.1927441,1.8060554,Synthia,dataset\SYNTHIA_256\image\0008614.png,dataset\original_cityscapes_inputs\388.jpeg
6221.148691,12324.15235,-6.34625,-3.9346497,Synthia,dataset\SYNTHIA_256\image\0002499.png,dataset\original_cityscapes_inputs\307.jpeg
-1099.032705,-15387.87522,1.8493161,3.4639626,Synthia,dataset\SYNTHIA_256\image\0002252.png,dataset\original_cityscapes_inputs\99.jpeg
18080.94064,1033.791641,2.8170168,7.1256943,Synthia,dataset\SYNTHIA_256\image\0005961.png,dataset\original_cityscapes_inputs\263.jpeg
13243.14798,-4652.383892,1.0910816,7.5062847,Synthia,dataset\SYNTHIA_256\image\0008281.png,dataset\original_cityscapes_inputs\491.jpeg
-1282.987486,-14837.83824,6.1139684,0.022543248,Synthia,dataset\SYNTHIA_256\image\0005604.png,dataset\original_cityscapes_inputs\99.jpeg
-21802.28529,-3420.310836,4.4427476,-10.019411,Synthia,dataset\SYNTHIA_256\image\0008873.png,dataset\original_cityscapes_inputs\487.jpeg
-11959.76324,6602.569967,0.1863436,-9.536168,Synthia,dataset\SYNTHIA_256\image\0007247.png,dataset\original_cityscapes_inputs\79.jpeg
-23064.80089,-2751.54377,3.9790697,-10.340016,Synthia,dataset\SYNTHIA_256\image\0005399.png,dataset\original_cityscapes_inputs\341.jpeg
6918.944515,9108.188552,9.589319,-4.7030525,Synthia,dataset\SYNTHIA_256\image\0008195.png,dataset\original_cityscapes_inputs\347.jpeg
4677.075186,3901.559295,-6.473528,0.8915244,Synthia,dataset\SYNTHIA_256\image\0004607.png,dataset\original_cityscapes_inputs\49.jpeg
1568.083249,-3673.781356,-1.8656185,-2.2157044,Synthia,dataset\SYNTHIA_256\image\0005302.png,dataset\original_cityscapes_inputs\36.jpeg
-21240.76508,-7462.365209,5.482677,-9.378855,Synthia,dataset\SYNTHIA_256\image\0008130.png,dataset\original_cityscapes_inputs\487.jpeg
-17557.32776,-751.5382517,3.3566716,-9.150647,Synthia,dataset\SYNTHIA_256\image\0002350.png,dataset\original_cityscapes_inputs\341.jpeg
-1887.827533,-10663.22514,5.076807,-0.051884227,Synthia,dataset\SYNTHIA_256\image\0001351.png,dataset\original_cityscapes_inputs\99.jpeg
33635.00557,629.1053128,3.9938796,8.626503,Synthia,dataset\SYNTHIA_256\image\0008358.png,dataset\original_cityscapes_inputs\491.jpeg
-12988.70358,-3007.157123,3.1091912,-7.6030874,Synthia,dataset\SYNTHIA_256\image\0008787.png,dataset\original_cityscapes_inputs\487.jpeg
3133.113418,11579.48683,-6.7972007,-7.483569,Synthia,dataset\SYNTHIA_256\image\0006349.png,dataset\original_cityscapes_inputs\420.jpeg
-10510.37257,12318.92993,-1.4447888,-10.134602,Synthia,dataset\SYNTHIA_256\image\0009125.png,dataset\original_cityscapes_inputs\345.jpeg
8207.976363,-5756.86629,3.2758312,1.9456763,Synthia,dataset\SYNTHIA_256\image\0001334.png,dataset\original_cityscapes_inputs\324.jpeg
18916.92137,10274.63867,-8.580408,-7.461986,Synthia,dataset\SYNTHIA_256\image\0001521.png,dataset\original_cityscapes_inputs\445.jpeg
-1508.805451,-5305.008192,-0.08826515,1.3635262,Synthia,dataset\SYNTHIA_256\image\0006685.png,dataset\original_cityscapes_inputs\429.jpeg
-13283.93856,-13267.19317,5.560091,-6.822661,Synthia,dataset\SYNTHIA_256\image\0008419.png,dataset\original_cityscapes_inputs\352.jpeg
-8310.880861,4583.481238,-1.0145613,-7.8299117,Synthia,dataset\SYNTHIA_256\image\0002644.png,dataset\original_cityscapes_inputs\332.jpeg
-6715.237201,11267.43459,-4.325633,-7.860793,Synthia,dataset\SYNTHIA_256\image\0009112.png,dataset\original_cityscapes_inputs\345.jpeg
-15725.60045,2314.229992,2.0426698,-9.834871,Synthia,dataset\SYNTHIA_256\image\0003455.png,dataset\original_cityscapes_inputs\341.jpeg
17318.21841,27358.07102,-9.280762,-4.878051,Synthia,dataset\SYNTHIA_256\image\0009360.png,dataset\original_cityscapes_inputs\445.jpeg
-8669.352864,13624.61955,-0.9164795,-11.961675,Synthia,dataset\SYNTHIA_256\image\0006931.png,dataset\original_cityscapes_inputs\345.jpeg
-12100.85104,8434.225759,1.5178467,-11.686831,Synthia,dataset\SYNTHIA_256\image\0005451.png,dataset\original_cityscapes_inputs\332.jpeg
-18603.87245,4236.470904,1.9071954,-10.276134,Synthia,dataset\SYNTHIA_256\image\0008018.png,dataset\original_cityscapes_inputs\341.jpeg
-17895.42656,-2261.649732,3.6609254,-8.974841,Synthia,dataset\SYNTHIA_256\image\0002371.png,dataset\original_cityscapes_inputs\487.jpeg
14.23770568,-17063.39341,1.1432472,3.6660464,Synthia,dataset\SYNTHIA_256\image\0000709.png,dataset\original_cityscapes_inputs\99.jpeg
350.3731171,3510.252345,-11.871745,-1.5566256,Synthia,dataset\SYNTHIA_256\image\0001705.png,dataset\original_cityscapes_inputs\358.jpeg
11201.01018,-2254.141927,-0.17141278,7.7809944,Synthia,dataset\SYNTHIA_256\image\0005738.png,dataset\original_cityscapes_inputs\263.jpeg
22364.71311,28790.24206,-9.246136,-6.5540743,Synthia,dataset\SYNTHIA_256\image\0009337.png,dataset\original_cityscapes_inputs\445.jpeg
18116.38381,-11541.43877,7.2835073,3.9914892,Synthia,dataset\SYNTHIA_256\image\0000081.png,dataset\original_cityscapes_inputs\491.jpeg
